depot,service_number,route_name,service_type,revenue_kms,day_night_code,oneman_code,private_hire,dept_time,arr_time,Hours
HCU,001D,216,SN,0,D,N,N,07:50,21:00,00:00:00
HCU,001E,216,ME,0,D,N,N,00:00,00:00,00:00:00
HCU,005A,219,SU,288,D,N,N,06:45,20:00,00:00:00
HCU,005D,219,SU,288,D,N,N,06:45,20:00,00:00:00
HCU,008D,10H,CO,0,D,N,N,00:00,00:00,00:00:00
HCU,008E,10H,CO,0,D,N,N,00:00,00:00,00:00:00
HCU,11,217C,SN,0,D,N,N,00:00,00:00,00:00:00
HCU,12,218,SN,298,N,N,N,14:15,12:35,00:00:00
HCU,21,219,SU,0,D,N,N,06:55,14:05,00:00:00
HCU,22,219,SU,280,N,N,N,15:20,13:05,00:00:00
HCU,029D,10H,CO,0,D,N,N,14:58,12:51,00:00:00
HCU,029E,10H,CO,0,N,N,N,14:00,22:00,00:00:00
HCU,31,195W,CO,132,D,N,N,05:40,12:45,00:00:00
HCU,32,195W,CO,132,D,N,N,13:20,20:20,00:00:00
HCU,034D,194V,CO,0,D,N,N,05:50,12:35,00:00:00
HCU,034E,194V,CO,0,D,N,N,14:15,21:00,00:00:00
HCU,039A,216,CO,0,D,N,N,07:30,14:15,00:00:00
HCU,039D,216,SN,0,D,N,N,05:50,19:00,00:00:00
HCU,039E,216,SN,0,D,N,N,00:00,00:00,00:00:00
HCU,041D,118G,SU,0,D,N,N,00:00,00:00,00:00:00
HCU,041E,118G,SU,0,D,N,N,00:00,00:00,00:00:00
HCU,41,219,SU,280,D,N,N,07:00,20:35,00:00:00
HCU,042D,217M,SU,0,D,N,N,00:00,00:00,00:00:00
HCU,042E,217M,SU,0,D,N,N,00:00,00:00,00:00:00
HCU,42,219,SU,152,D,N,N,16:35,23:20,00:00:00
HCU,045D,194V,CO,0,D,N,N,00:00,00:00,00:00:00
HCU,045E,194V,CO,0,D,N,N,00:00,00:00,00:00:00
HCU,51,219,SU,272,D,N,N,06:40,20:15,00:00:00
HCU,52,219,SU,154,D,N,N,14:30,21:35,00:00:00
HCU,054A,219,SU,280,D,N,N,07:00,20:00,00:00:00
HCU,054D,219,SN,150,D,N,N,07:20,20:20,00:00:00
HCU,054E,219,SN,150,D,N,N,15:00,22:30,00:00:00
HCU,057D,217M,SU,0,D,N,N,07:45,14:30,00:00:00
HCU,057E,217M,SU,0,D,N,N,15:20,22:05,00:00:00
HCU,61,216KW,SU,0,D,N,N,00:00,00:00,00:00:00
