fes_hol_code,Holiday_Festival,fes_hol_category,2023_dates,2024_dates,2025_dates,2026_dates
100,New_Year,Public_Holiday,01-01-2023,01-01-2024,01-01-2025,01-01-2026
101,Mukkoti_Ekadashi,Festival,02-01-2023,21-01-2024,10-01-2025,30-12-2026
102,Bhogi,Public_Holiday,14-01-2023,14-01-2024,13-01-2025,14-01-2026
103,Makara_Sankranthi,Public_Holiday,15-01-2023,15-01-2024,14-01-2025,15-01-2026
104,Kanuma,Festival,16-01-2023,16-01-2024,15-01-2025,16-01-2026
105,Republic_Day,Public_Holiday,26-01-2023,26-01-2024,26-01-2025,26-01-2026
106,Rathasaptami,Festival,28-01-2023,16-02-2024,04-02-2025,25-01-2026
107,Medaram_1,Mass_Pilgrimage,,21-02-2024,,28-01-2026
108,Medaram_2,Mass_Pilgrimage,,22-02-2024,,29-01-2026
109,Medaram_3,Mass_Pilgrimage,,23-02-2024,,30-01-2026
110,Medaram_4,Mass_Pilgrimage,,24-02-2024,,31-01-2026
111,Mahashivaratri,Public_Holiday,18-02-2023,08-03-2024,26-02-2025,15-02-2026
112,Holi,Public_Holiday,07-03-2023,25-03-2024,14-03-2025,03-03-2026
113,Ugadi,Public_Holiday,22-03-2023,09-04-2024,30-03-2025,19-03-2026
114,Sri_Rama_Navami,Public_Holiday,30-03-2023,17-04-2024,06-04-2025,27-03-2026
115,Babu_Jagajivanram_Jayanthi,Public_Holiday,05-04-2023,05-04-2024,05-04-2025,05-04-2026
116,Good_Friday,Public_Holiday,07-04-2023,29-03-2024,18-04-2025,03-04-2026
117,Ambedkar_Jayanthi,Public_Holiday,14-04-2023,14-04-2024,14-04-2025,14-04-2026
118,Ramzan_1,Public_Holiday,22-04-2023,11-04-2024,31-03-2025,21-03-2026
119,Ramzan_2,Public_Holiday,23-04-2023,12-04-2024,01-04-2025,22-03-2026
120,May_Day,Important_Day,01-05-2023,01-05-2024,01-05-2025,01-05-2026
121,Telangana_Formation_Day,Important_Day,02-06-2023,02-06-2024,02-06-2025,02-06-2026
122,Bonalu_Start,Festival,25-06-2023,07-07-2024,29-06-2025,
123,Bakrid,Public_Holiday,29-06-2023,17-06-2024,07-06-2025,27-05-2026
124,Guru_Pournima,Festival,03-07-2023,21-07-2024,10-07-2025,29-07-2026
125,Ashadam_Bonalu,Public_Holiday,17-07-2023,29-07-2024,21-07-2025,10-08-2026
126,Moharram,Public_Holiday,29-07-2023,17-07-2024,06-07-2025,26-06-2026
127,Independence_Day,Public_Holiday,15-08-2023,15-08-2024,15-08-2025,15-08-2026
128,Varalakshmi_Vratam,Festival,25-08-2023,16-08-2024,08-08-2025,21-08-2026
129,Raksha_Bandhan,Festival,31-08-2023,19-08-2024,09-08-2025,28-08-2026
130,Krishnashtami,Public_Holiday,07-09-2023,26-08-2024,16-08-2025,04-09-2026
131,Vinaya_Chavithi,Public_Holiday,18-09-2023,07-09-2024,27-08-2025,14-09-2026
132,Eid,Public_Holiday,28-09-2023,16-09-2024,05-09-2025,26-08-2026
133,Gandhi_Jayanthi,Public_Holiday,02-10-2023,02-10-2024,02-10-2025,02-10-2026
134,Batukamma_Start,Public_Holiday,14-10-2023,02-10-2024,21-09-2025,09-10-2026
135,Devi_Navaratrilu,Festival,15-10-2023,03-10-2024,22-09-2025,10-10-2026
136,Durgashtami,Festival,22-10-2023,10-10-2024,30-09-2025,18-10-2026
137,Maharnavami,Festival,23-10-2023,11-10-2024,01-10-2025,19-10-2026
138,Vijaya_Dasami_1,Public_Holiday,24-10-2023,12-10-2024,02-10-2025,20-10-2026
139,Vijaya_Dasami_2,Public_Holiday,25-10-2023,13-10-2024,03-10-2025,21-10-2026
140,Diwali,Public_Holiday,12-11-2023,31-10-2024,20-10-2025,08-11-2026
141,Karthika_Purnima,Public_Holiday,27-11-2023,15-11-2024,05-11-2025,24-11-2026
142,Christmas,Public_Holiday,25-12-2023,25-12-2024,25-12-2025,25-12-2026
143,Boxing_Day,Public_Holiday,26-12-2023,26-12-2024,26-12-2025,26-12-2026
