depot,n_rows,RMSE,MAE,MAPE,R2
ACHAMPET,90,306305.6266627696,190677.77875184445,20.85918159790518,0.22585867312148533
ADILABAD,90,418558.59026584344,263030.6111062444,15.589079023891255,0.23014459709842405
ARMOOR,90,266301.73550070246,154424.63004868882,16.582944477969907,0.19668793507441262
ASIFABAD,89,211850.4244571513,122490.46075732583,122.75690312862312,0.14976511544935367
BADRACHALAM,90,299082.1093832303,186900.15195499998,17.69158697455887,0.2835206304656098
BANDLAGUDA,90,318125.53383165726,169409.56808782223,40.51145375621892,0.05290106575506559
BANSWADA,90,330535.58075736713,194538.53249208885,28.057193350652927,0.20753627746804426
BARKATPURA,90,340319.48037341353,164804.2073022222,129.3818811084774,-0.00933729385274118
BHAINSA,89,244971.59307628678,138298.16279067416,18.753448055220282,0.22805177331115734
BHEL,90,267655.1570924036,202609.58553022222,21.894850210262025,0.30452611331428503
BHUPALAPALLAY,89,243435.61416898464,159059.08122970787,16.87046767972557,0.07216201060440686
BODHAN,90,290565.5945245072,189123.79568792216,13.218064895820817,0.24316391892002132
CHENGICHERLA,90,416268.5611738871,191769.0813090333,47.497498355958115,0.05161560771854867
CONTONMENT,90,265441.2465074441,153495.05133191106,10.545924314530247,0.20335480000196027
DEVARAKONDA,90,327663.3183582215,223778.6366822222,13.182888282718036,0.28676975245444114
DILSHUKNAGAR,90,295305.9064937339,139966.30648503057,23.671387271009138,0.13969776367410613
DUBBAKA,87,87963.44905644152,53682.88729852874,8.01437720091273,0.4161926842822343
FALAKNUMA,89,297538.3549596759,131279.13544197753,23.213934891554068,-0.005395860360549509
FAROOQNAGAR,90,270985.67870704073,135246.98685495558,69.88330045912531,0.08381856217946437
GADWAL,90,298886.7660397882,197833.15504688895,11.849395962288309,0.20974698737982111
GODAVARIKHANI,90,330820.8302753322,221528.3714738889,15.953051904027141,0.18695954464142805
GWL-PRGPR,90,246645.09759907867,143270.91442559997,13.606055752786611,0.2940918643385201
HAKIMPET,90,266159.1735586335,136455.38672523887,19.74425660040286,0.09860836607559476
HANAMKONDA,90,395402.6926541296,223234.92899172215,75.6277116937798,0.2042776090399685
HAYATHNAGAR-I,90,346132.747364647,161894.12845852223,36.784245204557756,0.07769175942793272
HAYATHNAGAR-II,90,232813.05317161282,139720.68607924445,25.21297824608098,0.2770464351824674
HCU,90,209872.10500585384,134408.3938648889,13.811114373636418,0.11550394365566019
HUSNABAD,90,177983.05171049494,112478.38705075557,16.494087937244714,0.24256244007240646
HUZURABAD,90,217715.5523167696,133812.16527671114,19.3022651967764,0.1806147349702868
HYDERABAD-I,90,303976.34694711934,210574.27608184447,15.874559844549433,0.3156737911294387
HYDERABAD-II,90,243054.2792085646,167008.19170524448,14.186648235365759,0.3456845405799822
IBRAHIMPATNAM,90,374150.9413982128,180065.32161014446,38.100510253051496,0.1765885435600839
JAGITYAL,90,283458.66048880003,174315.62945493337,13.495802138376215,0.21490793586821555
JANGAON,90,437901.7539840684,272920.8122674333,37.42648863508353,0.1947420355683862
JEEDIMETLA,90,380353.7203394262,181506.18302166116,38.57883121419979,0.10949457091246795
KACHEGUDA,90,339159.1154262672,159774.32447351114,45.9968077541882,0.048125194949686256
KALVAKURTHY,90,370551.5150287021,225371.94822405555,51.68095746244573,0.20030507435792377
KAMAREDDY,90,318644.58708100836,181250.25179515555,10.351967889831212,0.27739844428585536
KARIMNAGAR-I,90,251803.2402308769,149925.3129412083,13.204622763800836,0.15303992481950568
KARIMNAGAR-II,90,323724.5279657532,249213.2631769334,8.612845706640265,0.30192703499786966
KHAMMAM,90,454342.5506788172,271100.4973787444,21.748995701436765,0.23545671923196732
KODAD,90,196581.3218653925,144659.8155713889,12.4132950706508,0.36611516317711956
KOLLAPUR,90,241518.94245463004,157251.35838934442,26.468618574974084,0.20412988380242247
KORUTLA,90,176123.64030404497,100203.52796651113,13.71963676821377,0.2124923879668863
