depot,Product,Code,Fleet
ACHAMPET,SLX,IH,2
ACHAMPET,EXP,EX,18
ACHAMPET,PVG,OR,36
ACHAMPET,HIRE PE,PE,21
ACHAMPET,HIRE PO,PO,6
ADILABAD,RAJADHANI,MB,2
ADILABAD,LAHARI AC,HA,3
ADILABAD,LAHARI NON AC,NA,3
ADILABAD,SUPER LUXURY,HT,17
ADILABAD,HIRE EXPRESS,PE,24
ADILABAD,RTC EXPRESS,EX,24
ADILABAD,INTERSTATE PALLEVELUGU,OP,11
ADILABAD,HIRE PALLEVELUGU,PO,23
ADILABAD,INTERSTATE RTC PALLEVELUGU,IO,13
ADILABAD,RTC PALLEVELUGU,OR,16
ARMOOR,RAJADHANI,MB,5
ARMOOR,SUPER LUXERY,SL,19
ARMOOR,SEMI DELUXE,SD,3
ARMOOR,EXPRESS,EX,16
ARMOOR,PALLEVELUGU,OR,21
ARMOOR,HIRE EXPRESS,PE,3
ARMOOR,HIRE PALLEVELUGU,PO,27
ASIFABAD,LAHARI AC,HA,2
ASIFABAD,SUPER LUXURY,HT,13
ASIFABAD,HIRE EXPRESS,PE,4
ASIFABAD,RTC EXPRESS,EX,7
ASIFABAD,INTERSTATE PHB PALLEVELUGU,OP,7
ASIFABAD,HIRE PALLEVELUGU,PO,17
ASIFABAD,INTERSTATE RTC PALLEVELUGU,IO,2
ASIFABAD,RTC PALLEVELUGU,OR,26
BADRACHALAM,LAHARI AC,HA,2
BADRACHALAM,LAHARI NAC,HL,2
BADRACHALAM,RJD,MB,8
BADRACHALAM,SUPER_LUXURY,HT,27
BADRACHALAM,DLX,SL,6
BADRACHALAM,EXP,EX,24
BADRACHALAM,PVG,OR,18
BADRACHALAM,HIRE EXP,PE,15
BADRACHALAM,HIRE PVG,PO,7
BANSWADA,SUPER LUXURY,HT,5
BANSWADA,DELUXE,SL,2
BANSWADA,SEMI DELUXE,SD,2
BANSWADA,EXPRESS,EX,31
BANSWADA,PALLEVELUGU,OR,40
BANSWADA,HIRE EXPRESS,PE,5
BANSWADA,HIRE PALLEVELUGU,PO,11
BHAINSA,SUPERLUXURY,HT,2
BHAINSA,HIRE EXPRESS,PE,9
BHAINSA,RTC EXPRESS,EX,3
BHAINSA,HIRE INTERSTATRE PALLEVELUGU,OP,12
BHAINSA,HIRE PRIVATE PALLEVELUGU,PO,26
BHAINSA,INTER STATE RTC PALLEVELUGU,IO,5
BHAINSA,RTC PALLEVELUGU,OR,18
BHEL,GARUDA PLUS,IM,1
