depot,service_number,product,avg_seats_per_bus,route,dep_time,arr_time,planned_kms,planned_trips,planned_per_trip,breakeven_cpk,can_be_cancelled,schedules
ACHAMPET,BNR1,EX,55,HYDERABAD,06:00:00,20:50:00,590,6,98.33333333,25,0,1
ACHAMPET,H951,EX,55,HYD-TIMS,05:00:00,12:00:00,290,2,145,25,0,0.5
ACHAMPET,HN09,EX,55,HYDERABAD,10:15:00,09:10:00,580,4,145,25,0,1
ACHAMPET,HY10,EX,55,HYDERABAD,07:30:00,15:00:00,290,2,145,25,0,0.5
ACHAMPET,HY13,EX,55,MMDG-MGBS,07:40:00,20:15:00,448,4,112,25,0,1
ACHAMPET,HY15,EX,55,HYDERABAD,15:20:00,23:15:00,290,2,145,25,0,0.5
ACHAMPET,KR01,EX,55,MMDG-MGBS,06:45:00,21:00:00,524,6,87.33333333,25,0,1
ACHAMPET,LTH1,EX,55,LNG-TK-HYD,04:00:00,12:00:00,315,2,157.5,25,0,0.5
ACHAMPET,LTH2,EX,55,HYD-TIMS,13:30:00,21:00:00,290,2,145,25,0,0.5
ACHAMPET,LTH3,EX,55,LNG-TK-HYD,13:25:00,21:30:00,315,4,78.75,25,0,0.5
ACHAMPET,M005,EX,55,HYD-TIMS,14:30:00,22:00:00,290,2,145,25,0,0.5
ACHAMPET,M006,EX,55,HYD-TIMS,04:00:00,10:40:00,290,2,145,25,0,0.5
ACHAMPET,M027,EX,55,HYDERABAD,10:45:00,09:50:00,580,4,145,25,0,1
ACHAMPET,MB04,EX,55,HYDERABAD,11:30:00,10:30:00,580,4,145,25,0,1
ACHAMPET,SH01,EX,55,MMDG-MGBS,11:00:00,13:30:00,738,6,123,25,0,1
ACHAMPET,SH02,EX,55,HYDERABAD,09:30:00,08:50:00,580,4,145,25,0,1
ACHAMPET,KR02,IE,55,ACPT-KRNL,09:00:00,09:20:00,552,6,92,25,0,1
ACHAMPET,S008,IE,55,SRISAILAM,11:00:00,14:00:00,542,6,90.33333333,25,0,1
ACHAMPET,S009,IE,55,SRISAILAM,05:20:00,16:15:00,366,4,91.5,25,0,1
ACHAMPET,S010,IE,55,SRISAILAM,06:20:00,17:15:00,366,6,61,25,0,1
ACHAMPET,S011,IE,55,SRISAILAM,15:00:00,15:30:00,542,6,90.33333333,25,0,1
ACHAMPET,TPH1,IH,36,THIRUPATHI,16:00:00,01:26:00,1215,10,121.5,25,0,2
ACHAMPET,A020,OR,59,BKLGPLY,13:30:00,12:10:00,360,6,60,25,0,1
ACHAMPET,AD52,OR,59,APPAIPALLY,06:00:00,19:35:00,445,8,55.625,25,0,1
ACHAMPET,B107,OR,59,NGKL,12:45:00,08:45:00,380,10,38,25,0,1
ACHAMPET,BD01,OR,59,INOLE,07:10:00,19:15:00,368,10,36.8,25,0,1
ACHAMPET,BD06,OR,59,KTKL-DINDI,07:30:00,21:40:00,456,8,57,25,0,1
ACHAMPET,BK01,OR,59,BK-UPPUNTALA,06:00:00,18:50:00,350,10,35,25,0,1
ACHAMPET,BL64,OR,59,MADIMADUGU,10:30:00,09:30:00,386,6,64.33333333,25,0,1
ACHAMPET,BS14,OR,59,DEVARAKONDA,06:10:00,19:20:00,378,8,47.25,25,0,1
ACHAMPET,CH01,OR,59,MADIMADUGU,07:30:00,20:45:00,356,10,35.6,25,0,1
ACHAMPET,DV02,OR,59,DEVARAKONDA,05:10:00,18:20:00,378,6,63,25,0,1
ACHAMPET,DV03,OR,59,GDL-RMPR,06:45:00,18:50:00,390,6,65,25,0,1
ACHAMPET,DV04,OR,59,DEVARAKONDA,08:30:00,21:20:00,378,6,63,25,0,1
ACHAMPET,H913,OR,59,KLKY,05:30:00,19:15:00,360,8,45,25,0,1
ACHAMPET,K050,OR,59,MADIMADUGU,06:30:00,19:10:00,346,10,34.6,25,0,1
ACHAMPET,KLP1,OR,59,LNGL-KLPR,06:15:00,18:30:00,356,6,59.33333333,25,0,1
ACHAMPET,L012,OR,59,LINGALA,06:00:00,20:40:00,410,14,29.28571429,25,0,1
ACHAMPET,LT03,OR,59,LNGL-TKPL,07:10:00,17:00:00,340,12,28.33333333,25,1,1
ACHAMPET,M104,OR,59,NGKL,06:00:00,18:50:00,380,10,38,25,0,1
ACHAMPET,M175,OR,59,DEVARAKONDA,07:00:00,20:20:00,378,8,47.25,25,0,1
ACHAMPET,M207,OR,59,NGKL,05:00:00,17:50:00,380,10,38,25,0,1
ACHAMPET,MB01,OR,59,MADIMADUGU,13:30:00,10:40:00,356,6,59.33333333,25,0,1
ACHAMPET,MB07,OR,59,NGKL,06:45:00,19:35:00,380,10,38,25,0,1
ACHAMPET,ML01,OR,59,MALLELATERTAM,07:00:00,19:10:00,380,8,47.5,25,0,1
ACHAMPET,MM69,OR,59,MADIMADUGU,05:30:00,19:35:00,396,6,66,25,0,1
ACHAMPET,MM71,OR,59,MADIMADUGU,06:00:00,19:45:00,386,6,64.33333333,25,0,1
ACHAMPET,MMJ2,OR,59,MADIMADUGU,10:00:00,09:00:00,468,8,58.5,25,0,1
ACHAMPET,NG03,OR,59,NGKL,07:30:00,20:50:00,380,12,31.66666667,25,0,1
ACHAMPET,NG05,OR,59,NGKL,06:20:00,13:35:00,228,6,38,25,0,0.5
ACHAMPET,NG06,OR,59,NGKL,14:30:00,21:50:00,228,6,38,25,0,0.5
ACHAMPET,NG07,OR,59,KLKY,07:00:00,20:45:00,360,8,45,25,0,1
ACHAMPET,P149,OR,59,MADIMADUGU,12:30:00,10:00:00,448,9,49.77777778,25,0,1
ACHAMPET,PK01,OR,59,LNGL-PKPLY,06:30:00,19:20:00,340,12,28.33333333,25,1,1
ACHAMPET,AHN1,PE,55,HYD-PE,09:15:00,07:45:00,580,4,145,25,0,1
ACHAMPET,H008,PE,55,HYD-PE,11:15:00,10:10:00,580,4,145,25,0,1
ACHAMPET,H127,PE,55,HYD-PE,08:00:00,23:00:00,580,4,145,25,0,1
ACHAMPET,H954,PE,55,HYD-PE,09:45:00,08:15:00,580,4,145,25,0,1
ACHAMPET,H958,PE,55,HYD-PE,10:30:00,09:30:00,580,4,145,25,0,1
ACHAMPET,HN01,PE,55,HYD-PE,05:30:00,21:15:00,580,4,145,25,0,1
ACHAMPET,HY01,PE,55,HYD-PE,04:30:00,19:45:00,580,4,145,25,0,1
ACHAMPET,HY03,PE,55,HYD-PE,07:45:00,23:30:00,580,4,145,25,0,1
ACHAMPET,HY07,PE,55,HYD-PE,05:45:00,21:45:00,580,4,145,25,0,1
ACHAMPET,HY08,PE,55,HYD-PE,05:15:00,20:45:00,580,4,145,25,0,1
ACHAMPET,HY14,PE,55,HYD-PE,08:15:00,15:45:00,290,2,145,25,0,0.5
ACHAMPET,HY18,PE,55,HYD-PE,07:15:00,22:45:00,580,4,145,25,0,1
ACHAMPET,HY20,PE,55,HYD-PE,08:30:00,16:00:00,290,2,145,25,0,0.5
ACHAMPET,HY21,PE,55,HYD-PE,16:40:00,01:00:00,290,2,145,25,0,0.5
ACHAMPET,LTH4,PE,55,HYD-PE,16:20:00,00:15:00,290,2,145,25,0,0.5
ACHAMPET,LTH5,PE,55,HYD-PE,06:15:00,22:15:00,580,4,145,25,0,1
ACHAMPET,M128,PE,55,MBNR-PE,06:00:00,18:00:00,446,4,111.5,25,0,1
ACHAMPET,MB06,PE,55,MBNR-PE,07:00:00,19:00:00,446,4,111.5,25,0,1
ACHAMPET,MB10,PE,55,HYD-PE,11:45:00,10:50:00,580,4,145,25,0,1
ACHAMPET,N300,PE,55,MBNR-PE,08:00:00,20:00:00,446,4,111.5,25,0,1
ACHAMPET,N302,PE,55,HYD-PE,09:00:00,07:15:00,580,4,145,25,0,1
ACHAMPET,P525,PE,55,MBNR-PE,07:30:00,20:00:00,446,4,111.5,25,0,1
ACHAMPET,UN84,PE,55,MBNR-PE,06:40:00,19:00:00,446,4,111.5,25,0,1
ACHAMPET,H148,PO,59,NGKL-PO,07:45:00,18:05:00,304,8,38,25,0,1
ACHAMPET,LT02,PO,59,LNGL-TKP-PO,07:20:00,20:00:00,360,14,25.71428571,25,0,1
ACHAMPET,MB65,PO,59,NGKL-PO,07:00:00,18:20:00,324,10,32.4,25,0,1
ACHAMPET,NG11,PO,59,NGKL-PO,07:15:00,20:25:00,380,10,38,25,0,1
ACHAMPET,NG12,PO,59,NGKL-PO,08:00:00,21:10:00,380,10,38,25,0,1
ACHAMPET,NG13,PO,59,NGKL-PO,08:15:00,21:20:00,380,10,38,25,0,1
ADILABAD,ONG3,AH,42,ONGOLE,15:20:00,08:20:00,1384,20,69.2,25,0,2
ADILABAD,NGH1,EP,55,NAGPOOR,08:35:00,18:40:00,402,4,100.5,25,0,1
ADILABAD,NGH2,EP,55,NAGPOOR,09:20:00,19:25:00,402,4,100.5,25,0,1
ADILABAD,NGH3,EP,55,NAGPOOR,05:50:00,16:30:00,402,4,100.5,25,0,1
ADILABAD,BJR1,EX,55,BEJJUR,13:05:00,10:45:00,466,8,58.25,25,0,1
ADILABAD,CBR1,EX,55,TEMBI,06:20:00,19:40:00,424,10,42.4,25,0,1
ADILABAD,KZR1,EX,55,KAGAZNAGAR,06:50:00,15:05:00,320,8,40,25,0,1
ADILABAD,MN21,EX,55,MANCHIRIAL,05:20:00,17:30:00,488,10,48.8,25,0,1
ADILABAD,MN24,EX,55,MANCHIRIAL,11:10:00,20:00:00,332,10,33.2,25,0,1
ADILABAD,MNC1,EX,55,MANCHIRIAL,07:10:00,20:45:00,488,10,48.8,25,0,1
ADILABAD,N015,EX,55,NIRMAL,07:50:00,20:15:00,468,6,78,25,0,1
ADILABAD,N016,EX,55,NIRMAL,08:20:00,21:15:00,468,6,78,25,0,1
ADILABAD,N025,EX,55,NIRMAL,08:55:00,20:35:00,468,6,78,25,0,1
