depot,n_rows,RMSE,MAE,MAPE,R2
ACHAMPET,90,309145.0317291389,197534.00676571115,21.166562734791015,0.20418698936382773
ADILABAD,90,424763.722746236,265818.5920113555,15.840460061324633,0.22058507326350874
ARMOOR,90,274263.7203896255,158211.98139402224,16.696543768526713,0.15515994456970472
ASIFABAD,89,211131.2124249624,121267.29572635956,121.82493375244736,0.14559785765057098
BADRACHALAM,90,299355.3239784294,189560.61957433337,17.69195271128472,0.25913090002814
BANDLAGUDA,90,319498.18565491703,170109.64096138888,40.841971563933114,0.04417247558367321
BANSWADA,90,351116.8753189023,208012.75942035552,28.534353552188897,0.17219225873685506
BARKATPURA,90,338944.72224662785,163018.22559844443,129.84668331692666,-0.01596692690620727
BHAINSA,89,244034.72178088786,137317.71555155056,18.55375037221734,0.22277610129595815
BHEL,90,276256.30881679815,213782.88279977773,22.904464556252893,0.2880441705795713
BHUPALAPALLAY,89,248468.66692818396,165172.45836391012,16.841446338240235,0.14175326433724167
BODHAN,90,315555.6857345172,199497.46735384443,13.56739671192077,0.19809099420630827
CHENGICHERLA,90,415864.2353133895,193323.5755649111,47.48374910353545,0.06136431405301257
CONTONMENT,90,266175.516710984,158212.43325955555,10.765645510485978,0.20943019102758442
DEVARAKONDA,90,329739.78201135405,224921.57479879996,13.235607890964507,0.2900715170353857
DILSHUKNAGAR,90,295515.03198921646,141229.21138977777,23.490135287210638,0.1409423777102934
DUBBAKA,87,86265.82769226645,53745.14519829885,7.994675240526878,0.4197430591673339
FALAKNUMA,89,302131.3057537415,139977.7497794607,23.94797004962371,-0.022076160221977004
FAROOQNAGAR,90,277278.1671946284,143123.19609254444,71.79262525121094,0.05649288278883646
GADWAL,90,296807.14962675504,193359.3128946111,11.585067659768034,0.219361117434703
GODAVARIKHANI,90,331164.5980565657,217071.8829382222,15.704195642158425,0.20691766563968605
GWL-PRGPR,90,247892.48411725022,152237.2749613333,14.026232402976602,0.2653123481293085
HAKIMPET,90,265428.2608989605,137017.28414435554,19.924227599297183,0.11806942098089113
HANAMKONDA,90,431329.59262323385,243684.14684829162,76.67101078404474,0.22692898274040096
HAYATHNAGAR-I,90,348237.4637587327,164116.1636235111,37.11094362896634,0.07475673853915432
HAYATHNAGAR-II,90,234001.96235641057,142735.86791097777,25.370588293986245,0.3050967250326311
HCU,90,208798.34779822998,133732.18014533335,13.706966816539559,0.14978768369994933
HUSNABAD,90,183317.09099672476,121040.5724016445,17.090451383815513,0.2174981893109138
HUZURABAD,90,218316.1678834752,136582.54461626665,19.403102622683694,0.17059593508143167
HYDERABAD-I,90,308796.4150853374,215713.05659615563,16.268890700266923,0.2861930891169704
